title,platform,IGNScore,CommScore,CommRaters,genre,publisher,developer,releaseDate,reviewDate
Tomb Raider: Definitive Edition,PlayStation 4,9.1,9.1,471,Action,Square Enix,Crystal Dynamics,28.01.2014,25.01.2014
Insurgency,PC,7.5,8.5,46,Shooter,,New World Interactive,22.01.2014,28.01.2014
Octodad: Dadliest Catch,PC,7.8,8.1,28,Adventure,"Young Horses, Inc.","Young Horses, Inc.",30.01.2014,30.01.2014
League of Legends,Macintosh,9.2,7.9,60,Action,Riot Games,Riot Games,01.03.2013,13.02.2014
Blackguards,PC,7.8,6.9,15,RPG,Daedalic,Daedalic,,30.01.2014
Minecraft -- Pocket Edition,iPhone,7.5,7.1,272,Action,Mojang,Mojang,18.11.2011,13.02.2014
The Last of Us: Left Behind,PlayStation 3,9,9.2,443,Action,Sony Computer Entertainment,Naughty Dog Software,14.02.2014,14.02.2014
Donkey Kong Country: Tropical Freeze,Wii U,9,9.1,240,Platformer,Nintendo,"Retro Studios, Inc.",21.02.2014,17.02.2014
Minecraft -- Pocket Edition,Android,7.5,7.6,278,Action,Mojang,Mojang,07.10.2011,13.02.2014
Strider,PC,7.5,-1,-1,Action,Capcom,Double Helix,TBA,18.02.2014
Strider,Xbox One,7.5,-1,-1,Action,Capcom,Double Helix,TBA,18.02.2014
Earth Defense Force 2025,Xbox 360,6.5,8.5,18,Action,D3 Publisher,Sandlot (JP),18.02.2014,18.02.2014
Earth Defense Force 2025,PlayStation 3,6.5,6.8,14,Action,D3 Publisher,Sandlot (JP),18.02.2014,18.02.2014
Strider,PlayStation 4,7.5,8,66,Action,Capcom,Double Helix,18.02.2014,18.02.2014
Strider,PlayStation 3,7.5,7.4,11,Action,Capcom,Double Helix,18.02.2014,18.02.2014
Strider,Xbox 360,7.5,7.4,2,Action,Capcom,Double Helix,19.02.2014,18.02.2014
TxK,PlayStation Vita,8.2,7.2,6,Shooter,Llamasoft,Llamasoft,11.02.2014,19.02.2014
Horizon,PC,6.5,10,3,Strategy,Iceberg Interactive,L3O Interactive,06.02.2014,20.02.2014
Toukiden: The Age of Demons,PlayStation Vita,6.2,8.7,67,Action,Tecmo KOEI,Omega Force,11.02.2014,18.02.2014
BandFuse: Rock Legends,PlayStation 3,8.2,9,1,Music,Mastiff,Realta Entertainment Group,19.11.2013,20.02.2014
BandFuse: Rock Legends,Xbox 360,8.2,9.3,2,Music,Mastiff,Realta Entertainment Group,19.11.2013,20.02.2014
Banished,PC,8.3,8.4,93,Simulation,Shining Rock Software,Shining Rock Software,18.02.2014,21.02.2014
Tales of Symphonia Chronicles,PlayStation 3,8,9.3,71,Compilation,Bandai Namco Games,Bandai Namco Games,25.02.2014,20.02.2014
Rambo: The Video Game,PC,3,2.3,56,Shooter,Reef Entertainment,,TBA,21.02.2014
Yoshi's New Island,Nintendo 3DS,7.9,8.1,59,Platformer,Nintendo,Arzest,14.03.2014,13.03.2014
Rambo: The Video Game,PlayStation 3,3,1.6,56,Shooter,Reef Entertainment,,29.04.2014,21.02.2014
Rambo: The Video Game,Xbox 360,3,1.7,51,Shooter,Reef Entertainment,,TBA,21.02.2014
